Company_Name,Skills they are looking for,Number of positions
cbre group,"['agile' 'analyst' 'analytical' 'analytical skills'
 'application development' 'application security' 'application support'
 'automation' 'automation testing' 'business analysis'
 'business intelligence' 'business rules' 'c #' 'cd' 'client engagement'
 'cloud' 'coding' 'communication skills' 'computer science'
 'configuration management' 'continuous improvement' 'customer experience'
 'customer service' 'database design' 'debugging' 'design development'
 'end user support' 'entity framework' 'finance' 'financial analysis'
 'front end' 'gcp' 'git' 'github' 'html' 'html5' 'information technology'
 'java' 'javascript' 'jmeter' 'jquery' 'linux' 'load runner'
 'log shipping' 'maintenance' 'manager technology' 'mathematics' 'mis'
 'monitoring' 'ms sql' 'mvc' 'mysql' 'open source' 'operations'
 'orchestration' 'patch management' 'performance appraisal'
 'performance testing' 'performance tuning' 'postgresql'
 'problem management' 'production support' 'qtp' 'rdbms' 'representative'
 'research' 'ruby' 'salesforce.com' 'scrum' 'selenium' 'seo'
 'shell scripting' 'software development'
 'software development life cycle' 'software engineer'
 'software engineer ii' 'splunk' 'sql server' 'ssis' 'ssrs'
 'stored procedures' 'tdd' 'technical support' 'test cases'
 'test driven development' 'test scripts' 'testing tools'
 'troubleshooting' 'unit testing' 'unix' 'version control'
 'web development' 'windows']",36
cbre india,['angular' 'express' 'javascript' 'microservices' 'nosql' 'redis' 'ruby'],1
"celigo, inc.","['cloud' 'cloud computing' 'coding' 'computer science' 'jira'
 'manager technology' 'product management' 'san' 'scrum' 'silicon'
 'software design' 'usage']",2
cgi,['big data' 'cloud' 'etl' 'informatica' 'it skills' 'mdm' 'oracle'],1
cgi information systems and management consultants,"['.net' 'agile' 'ajax' 'angular' 'angular js' 'angularjs'
 'apache webserver' 'api s' 'application programming' 'aws' 'backend'
 'bit bucket' 'blueprism' 'business analyst' 'business process' 'cgi'
 'ci / cd' 'ci and cd' 'cloud' 'coding' 'communication' 'computer science'
 'continuous integration' 'css' 'data validation' 'database design'
 'databricks' 'db2' 'dba db2' 'debugging' 'devops' 'dom' 'eclipse'
 'elastic search' 'etl' 'front end' 'git' 'hibernate' 'hive' 'html'
 'informatica' 'it skills' 'j2ee' 'java' 'java enterprise'
 'java web services' 'javascript' 'jcl' 'jdbc' 'jee' 'jenkin' 'jenkins'
 'jira' 'json' 'linux' 'linux middleware' 'mainframe' 'maven' 'metadata'
 'microservices' 'middleware' 'middleware sql'
 'mobile application development' 'mssql' 'mvc' 'networking' 'node js'
 'object relational mapper' 'oops' 'oracle' 'oracle oracle biee'
 'pega sce' 'performance tuning' 'pl sql' 'plsql' 'prpc' 'pyspark'
 'pytest' 'python' 'rest web services' 'rest webservices'
 'restful webservices' 'rpa' 'salesforce.com' 'sar' 'scala' 'sfdc' 'shell'
 'shell scripting' 'soa' 'software development' 'spring' 'spring boot'
 'sql' 'sql server' 'storage management' 'system design' 'tableau' 'tdd'
 'technical analyst' 'teradata' 'testing' 'troubleshooting' 'udeploy'
 'ui debugging' 'ui development' 'ui path' 'unix' 'verbal communication'
 'version control' 'visual studio' 'vsam' 'wcf' 'web services'
 'web technologies' 'websphere application server' 'workfusion' 'written'
 'written communication' 'xml']",26
cgi information systems and management consultants     private limited,"['etl' 'it skills' 'oops' 'pl sql' 'pyspark' 'python' 'sql'
 'sql development']",1
chiselon technologies pvt.ltd,"['aws' 'big data' 'elastic search' 'it skills' 'java' 'jenkins' 'shield'
 'software development']",1
cigniti technologies,"['ci - cd server' 'cryptography' 'github' 'it skills' 'oops' 'pytest'
 'python' 'tabula']",1
circulant software pvt ltd,"['cloud' 'etl tool' 'google cloud' 'it skills' 'matillion'
 'project management' 'python' 'software development']",1
citiustech,"['agile' 'api testing' 'defect tracking' 'java' 'junit'
 'mobileapplication testing' 'soap' 'webapplication testing']",1
clarion technologies pvt ltd,"['.net core' 'asp net mvc' 'c#' 'css' 'entity framework' 'git' 'html'
 'javascript' 'linq' 'mvc' 'sql server' 'web api' 'web technologies']",2
clarivate,"[list(['conflict resolution', 'time management', 'problem management', 'manager technology', 'incident management', 'management', 'powerpoint', 'information technology'])
 list(['java', 'shell scripting', 'python'])]",2
clean harbors,"['automation' 'manual testing' 'performance testing' 'procurement'
 'production support' 'software design' 'visual basic' 'windows']",1
cloudneeti,"['active directory' 'agile' 'application development' 'automation' 'cloud'
 'cloud management' 'computer science' 'cre' 'debugging' 'devops'
 'enterprise applications' 'functional testing'
 'infrastructure development' 'javascript' 'network operations'
 'network security' 'networking' 'networking protocols'
 'performance testing' 'product management' 'qa' 'security testing'
 'software engineering' 'test cases' 'troubleshooting' 'vpn'
 'web technologies']",5
cm architecture & designing,"['firewall' 'hr recruiter' 'it networking manager' 'network engineering'
 'networking' 'networking fresher' 'networking skills' 'switching']",1
coforge,"[list(['communication', 'tracer utility', 'pega', 'sql', 'prpc', 'construction', 'debugging', 'management'])
 list(['java', 'appian', 'communication', 'agile', 'it skills', 'devops', 'web technologies', 'database'])
 list(['pega', 'debugging', 'agile methodology', 'design development', 'management', 'system administration'])
 list(['powershell', 'logicapps', 'json', 'dynamics 365', 'microsoft azure', 'azure ad', 'sql', 'web services'])
 list(['prpc', 'data modeling', 'pega', 'data mapping', 'management'])]",5
cognia technologies,"['.net' 'assembly language' 'html' 'javascript' 'oracle' 'python'
 'real time operating systems' 'six sigma']",1
cognizant,"['agile development model' 'assembly programming' 'azure' 'c'
 'c++ language' 'full stack' 'full stack developer' 'iec' 'it skills'
 'java' 'javascript' 'management' 'microprocessor based development'
 'microservices' 'nucleus / vxworks' 'real - time' 'rtos'
 'software development' 'spring boot' 'tfs multi' 'unit testing' 'vs2007'
 'vs2012']",3
cognizer india private limited,"['algorithms' 'cassandra' 'data structures' 'design patterns'
 'elasticsearch' 'git' 'java' 'kafka']",1
colliers,"['billing' 'hse' 'information technology' 'project management'
 'project planning' 'quality standards' 'real estate construction'
 'statutory compliance']",1
collins aerospace,"[list(['aerospace', 'analytical', 'debugging', 'programming', 'simulink', 'python', 'scripting'])
 list(['application deployment', 'version control', 'git', 'control system', 'software development life cycle', 'transition', 'html', 'business process management'])
 list(['linux', 'networking', 'project management', 'debugging', 'agile', 'html', 'sdlc', 'sql'])
 list(['linux', 'networking', 'project management', 'debugging', 'agile', 'senior lead', 'html', 'sdlc'])
 list(['software testing', 'application design', 'debugging'])
 list(['supply chain', 'prototype', 'front end', 'jquery', 'dom', 'web technologies', 'lead software', 'aerospace'])
 list(['unix', 'linux', 'jboss', 'xml', 'jsp', 'struts', 'j2ee', 'windows'])
 list(['web ui', 'component design', 'system management', 'prototype', 'web technologies', 'user interface designing', 'lead software', 'javascript'])]",8
colruyt it consultancy india pvt. ltd.,"['access management' 'analytical' 'angular' 'application development'
 'bootstrap' 'bpo' 'css3' 'data management' 'db2' 'debugging' 'html5'
 'integration testing' 'it security' 'it skills' 'j2ee' 'java'
 'javascript' 'jdbc' 'jenkins' 'jest' 'karma' 'linux' 'maven'
 'mobile development' 'network security' 'object oriented programming'
 'oracle' 'powershell' 'project management' 'rdbms' 'restful' 'rpa'
 'sailpoint' 'spring boot' 'spring mvc' 'testing' 'uipath' 'uml'
 'unit testing' 'unix' 'waterfall' 'xml']",6
concentrix,"['api integration' 'big data' 'cloud' 'com' 'core java' 'docker'
 'it skills' 'java' 'java 8' 'microservices' 'orm' 'rest' 'rest apis'
 'salesforce' 'sfdc development' 'soap' 'soap and rest api'
 'software lifecycles' 'spring boot' 'sql' 'testing']",3
conduent,['bpo' 'procurement' 'software' 'vendor management'],1
confidential,"['communication' 'javascript' 'net framework' 'sql server 2005' 't - sql'
 'threading' 'verbal' 'web services']",1
connect2careerz pvt ltd,"['#java or #python or #node or #golang' 'distributed computing'
 'microservices']",1
consilio,"['agile' 'flex' 'manager quality assurance' 'manager technology'
 'project development' 'project management' 'scheduling' 'service level']",1
cotiviti,"['css' 'drools' 'html' 'it skills' 'j2ee' 'java' 'software development'
 'testing']",1
cotiviti corporation,"['agile' 'application development' 'automation' 'cloud' 'coding'
 'core java' 'customer satisfaction' 'customer service' 'data conversion'
 'data modeling' 'data structures' 'database design' 'dba' 'eclipse'
 'hibernate' 'hive' 'html' 'information security' 'it skills' 'j2ee'
 'java' 'javascript' 'jboss' 'jenkins' 'jira' 'jquery' 'linux' 'microsoft'
 'ms sql' 'mysql' 'oracle' 'packaging' 'performance tuning'
 'project management' 'rdbms' 'rest apis' 'service delivery'
 'software design' 'software development' 'software installation'
 'spring boot' 'spring mvc' 'spring rest' 'stored procedures' 'testing']",9
coupa software india pvt. ltd.,"['.net' 'azure' 'c#' 'cloud technologies' 'design patterns' 'it skills'
 'mvc framework' 'software development']",1
creative hands hr consultancy,"['c' 'c++' 'dotnet' 'freshers' 'python' 'software developer'
 'software engineering' 'software testing']",1
crochet technology,"['agile methodology' 'appian developer' 'bpo' 'computer science'
 'it skills' 'oracle' 'project management']",1
css corp,"['angular' 'ci / cd' 'clouds' 'continuous integration deployments' 'es6'
 'javascript' 'source control management' 'sqs']",1
cubic transportation,"['administration' 'agile' 'agile methodology' 'analytics'
 'application development' 'automation' 'backend' 'business intelligence'
 'business objects' 'change management' 'coding' 'computer science'
 'configuration management' 'continuous improvement' 'core java'
 'database design' 'debugging' 'eclipse' 'enterprise applications' 'hcm'
 'hibernate' 'html' 'http' 'information technology' 'jira' 'json' 'linq'
 'networking' 'occupational health' 'open source' 'oracle' 'payroll'
 'project delivery' 'qms' 'sap' 'sap hcm' 'sdk' 'software design'
 'stored procedures' 'support services' 'training' 'troubleshooting'
 'ui development' 'unit testing' 'unix' 'wellness' 'windows' 'xml']",12
cvm solutions,"['asp . net' 'c #' 'entity framework' 'html' 'jquery' 'mvc'
 'net framework' 'sql server']",1
cybage,"['agile' 'computer science' 'core java' 'data structures'
 'enterprise applications' 'hibernate' 'multithreading' 'soa']",1
cyberedge software solutions pvt ltd,"['gcp cloud' 'hibernate framework' 'it skills' 'j2ee' 'java' 'maven build'
 'microservices' 'spring batch']",1
cygen it consulting and software solutions private limited,"['android' 'angular' 'ios / android' 'node' 'node.js' 'php' 'react native'
 'ui / ux']",1
cyient,"['-' '3g' 'administration' 'advanced analytics' 'aerospace' 'agile'
 'analytical' 'angularjs' 'ant' 'arcgis desktop' 'asp net' 'autodesk'
 'autolisp' 'automation' 'automation scripting' 'azure service'
 'azuredevops' 'bash' 'blackbox' 'bmc' 'bmc remedy' 'bss'
 'business applications' 'c' 'c & c++' 'c#' 'c# net' 'c++' 'cad' 'coding'
 'communication' 'computer science' 'continuous integration'
 'data modeling' 'debugging' 'development testing' 'devops' 'diagnostics'
 'embedded development' 'embedded software development' 'esri'
 'esri arcgis' 'excel' 'formal verification' 'gis' 'git' 'git hub'
 'healthcare' 'html' 'i2c' 'ibm tivoli' 'ibm tivoli enterprise console'
 'it skills' 'itil' 'itnm' 'j2ee' 'jasmine' 'java' 'java message service'
 'java scripting' 'javascript' 'jquery' 'linux' 'lisp' 'maven'
 'microsoft excel' 'microsoft office' 'microsoft sql server'
 'microsoft visual c# net' 'microsoft visual studio ide' 'ms office'
 'ms sql' 'ms sql server' 'mvc' 'object - oriented design'
 'object - oriented programming' 'omnibus' 'operating systems'
 'operational support' 'operational support systems' 'oracle'
 'oracle database' 'oracle database architecture' 'order management' 'oss'
 'perl' 'pmp' 'postgresql postgis' 'powershell' 'presentation'
 'production support' 'project management' 'python' 'qgis' 'qnx' 'rdbms'
 'rest api' 'restful apis' 'sdlc' 'selenium' 'semiconductor' 'shell'
 'software development' 'software development life cycle'
 'solution architecture' 'spi' 'spring boot' 'sql' 'sql server' 'sqlite'
 'sqlite web sockets' 'squish' 'static code analysis' 'swings' 'tcp / udp'
 'technology solutions' 'telecom' 'test execution' 'testing'
 'tivoli system automation' 'tomcat' 'tortoise' 'uart' 'unix'
 'unix shell scripting' 'verbal' 'visual lisp' 'wcf' 'web services'
 'webservice' 'word' 'written communication' 'xml']",25
cytrion,"['administration' 'android sdk' 'c' 'c#' 'development' 'iphone sdk' 'java'
 'php']",1
darwinbox,"['change management' 'employee engagement' 'manager technology'
 'performance management' 'process improvement' 'senior management'
 'succession planning' 'talent development']",1
datavail,"['active directory' 'backup' 'balancing' 'citrix'
 'database administration' 'laptop' 'networking' 'vpn']",1
datavail infotech pvt. ltd.,"['application support' 'citrix' 'database administration'
 'disaster recovery' 'laptop' 'load balancing' 'networking'
 'vpn endpoint troubleshooting']",1
deceuninck profiles india private limited,"['building materials' 'business development' 'channel sales'
 'civil engineering' 'fenestration' 'mechanical engineering' 'sales'
 'sales engineering']",1
dell,"['hcm' 'java' 'picof' 'python' 'selenium' 'web services' 'workday studio'
 'xslt']",1
dell technologies,"['.net' '.net core' '.net framework' 'ado net' 'agile methodology'
 'angular js' 'application programming' 'automated testing tools' 'aws'
 'azure' 'business processes' 'c#' 'c# net' 'c#.net' 'cassandra' 'ci / cd'
 'core' 'data analyticsci' 'debugging' 'devops' 'etl tool' 'git' 'gitlab'
 'it skills' 'j2ee' 'java' 'javascript' 'jquery' 'kafka' 'kubernetes'
 'mesos' 'mongo db' 'mvc' 'nosql db' 'object - oriented programming'
 'oracle' 'oracle sql' 'pcf cloud microservices' 'pivotal' 'pl/sql'
 'postgresql' 'python' 'react programming' 'service'
 'software development' 'software development methodologies' 'spring'
 'spring 5' 'sql' 'sql server' 'subscription billing' 'teradata' 'testing'
 'tfs' 'ui' 'unix' 'web api' 'web application frameworks' 'web developer'
 'webapi']",10
